cohort_month,cash_request_id,status,cash_request_amount
2020-06,2594.0,3,70.0
2020-06,2604.0,3,100.0
2020-06,2612.0,3,100.0
2020-06,2615.0,3,50.0
2020-06,2616.0,3,100.0
2020-06,2620.0,3,100.0
2020-06,2621.0,3,100.0
2020-06,2622.0,3,100.0
2020-06,2624.0,3,100.0
2020-06,2625.0,3,100.0
2020-06,2626.0,3,100.0
2020-06,2628.0,3,100.0
2020-06,2634.0,3,100.0
2020-06,2639.0,3,100.0
2020-06,2640.0,3,100.0
2020-06,2641.0,4,100.0
2020-06,2649.0,3,70.0
2020-06,2650.0,3,100.0
2020-06,2652.0,3,100.0
2020-06,2654.0,3,20.0
2020-06,2656.0,3,100.0
2020-06,2659.0,3,80.0
2020-06,2668.0,3,90.0
2020-06,2676.0,3,100.0
2020-06,2682.0,4,100.0
2020-06,2685.0,3,50.0
2020-06,2694.0,3,100.0
2020-06,2698.0,3,100.0
2020-06,2704.0,3,100.0
2020-06,2705.0,3,100.0
2020-06,2706.0,3,100.0
2020-06,2710.0,3,100.0
2020-06,2713.0,3,50.0
2020-06,2738.0,2,100.0
2020-06,2739.0,4,100.0
2020-06,2741.0,2,100.0
2020-06,2771.0,3,100.0
2020-06,2773.0,3,100.0
2020-06,2785.0,3,100.0
2020-06,2787.0,3,100.0
2020-06,2793.0,3,100.0
2020-06,2794.0,3,100.0
2020-06,2795.0,3,100.0
2020-06,2811.0,2,100.0
2020-06,2822.0,3,100.0
2020-06,2848.0,3,100.0
2020-06,2852.0,4,100.0
2020-06,2856.0,4,100.0
2020-06,2860.0,3,100.0
2020-06,2868.0,3,100.0
2020-06,2878.0,3,100.0
2020-06,2880.0,3,100.0
2020-06,2894.0,3,100.0
2020-06,2895.0,3,100.0
2020-06,2901.0,3,50.0
2020-06,2913.0,2,50.0
2020-06,2922.0,3,100.0
2020-06,2924.0,3,100.0
2020-06,2928.0,3,100.0
2020-06,2943.0,3,100.0
2020-06,2945.0,3,100.0
2020-06,2958.0,3,100.0
2020-06,2970.0,3,100.0
2020-06,2977.0,3,100.0
2020-06,2989.0,3,100.0
2020-06,3000.0,3,100.0
2020-06,3002.0,3,100.0
2020-06,3022.0,3,50.0
2020-06,3027.0,3,50.0
2020-06,3047.0,4,100.0
2020-06,3053.0,4,100.0
2020-06,3056.0,3,100.0
2020-06,3061.0,4,100.0
2020-06,3068.0,3,100.0
2020-06,3084.0,3,100.0
2020-06,3087.0,3,100.0
2020-06,3090.0,3,100.0
2020-06,3093.0,3,100.0
2020-06,3094.0,3,100.0
2020-06,3117.0,3,100.0
2020-06,3120.0,3,100.0
2020-06,3123.0,3,100.0
2020-06,3141.0,3,100.0
2020-06,3160.0,3,80.0
2020-06,3163.0,3,100.0
2020-06,3175.0,3,100.0
2020-06,3181.0,3,50.0
2020-06,3183.0,3,100.0
2020-06,3195.0,3,100.0
2020-06,3208.0,3,100.0
2020-06,3211.0,3,100.0
2020-06,3221.0,3,100.0
2020-06,3225.0,3,100.0
2020-06,3228.0,3,100.0
2020-06,3229.0,3,100.0
2020-06,3235.0,3,100.0
2020-06,3240.0,3,100.0
2020-06,3246.0,3,100.0
2020-06,3247.0,3,100.0
2020-06,3251.0,3,100.0
2020-06,3271.0,3,100.0
2020-06,3275.0,3,100.0
2020-06,3312.0,3,100.0
2020-06,3332.0,3,50.0
2020-06,3352.0,2,50.0
2020-06,3353.0,3,50.0
2020-06,3360.0,3,60.0
2020-06,3365.0,,100.0
2020-06,3384.0,3,100.0
2020-06,3387.0,3,100.0
2020-06,3398.0,3,100.0
2020-06,3404.0,2,100.0
2020-06,3407.0,3,100.0
2020-06,3433.0,3,100.0
2020-06,3485.0,3,70.0
2020-06,3496.0,3,50.0
2020-06,3499.0,3,40.0
2020-06,3504.0,3,100.0
2020-06,3531.0,3,50.0
2020-06,3534.0,3,60.0
2020-06,3593.0,3,50.0
2020-06,3599.0,4,100.0
2020-06,3611.0,4,100.0
2020-06,3625.0,4,100.0
2020-06,3635.0,2,100.0
2020-06,3639.0,3,50.0
2020-06,3646.0,3,100.0
2020-06,3647.0,3,100.0
2020-06,3648.0,3,100.0
2020-06,3661.0,3,100.0
2020-06,3676.0,3,100.0
2020-06,3700.0,3,100.0
2020-06,3701.0,3,100.0
2020-06,3705.0,2,100.0
2020-06,3710.0,3,100.0
2020-06,3737.0,3,100.0
2020-06,3740.0,3,100.0
2020-06,3742.0,3,100.0
2020-06,3743.0,3,100.0
2020-06,3752.0,3,80.0
2020-06,3754.0,3,50.0
2020-06,3785.0,3,50.0
2020-06,3804.0,3,100.0
2020-06,3809.0,3,100.0
2020-06,3811.0,3,70.0
2020-06,3813.0,3,100.0
2020-06,3853.0,3,100.0
2020-06,3857.0,4,100.0
2020-06,3871.0,3,60.0
2020-06,3877.0,3,100.0
2020-06,3881.0,3,60.0
2020-06,3898.0,2,100.0
2020-06,3901.0,2,100.0
2020-06,3903.0,3,100.0
2020-06,3925.0,4,100.0
2020-06,3939.0,3,100.0
2020-06,3952.0,3,100.0
2020-06,3992.0,3,50.0
2020-06,3997.0,,100.0
2020-06,3999.0,3,100.0
2020-06,4004.0,3,100.0
2020-06,4009.0,3,100.0
2020-06,4014.0,3,100.0
2020-06,4019.0,3,100.0
2020-06,4040.0,3,100.0
2020-06,4044.0,3,100.0
2020-06,4047.0,4,100.0
2020-06,4065.0,3,100.0
2020-06,4080.0,3,100.0
2020-06,4083.0,2,100.0
2020-06,4086.0,3,100.0
2020-06,4087.0,3,100.0
2020-06,4093.0,3,100.0
2020-06,4112.0,3,100.0
2020-06,4117.0,2,100.0
2020-06,4143.0,3,100.0
2020-06,4196.0,3,100.0
2020-06,4223.0,4,60.0
2020-06,4226.0,3,100.0
2020-06,4229.0,3,100.0
2020-06,4230.0,3,100.0
2020-06,4239.0,3,100.0
2020-06,4241.0,3,100.0
2020-06,4247.0,3,100.0
2020-06,4248.0,3,100.0
2020-06,4257.0,3,100.0
2020-06,4261.0,3,100.0
2020-06,4290.0,3,100.0
2020-06,4302.0,3,100.0
2020-06,4314.0,3,100.0
2020-06,4321.0,3,100.0
2020-06,4333.0,3,100.0
2020-06,4353.0,3,100.0
2020-06,4359.0,3,50.0
2020-06,4362.0,3,100.0
2020-06,4367.0,3,100.0
2020-06,4370.0,3,100.0
2020-06,4373.0,3,100.0
2020-06,4410.0,3,100.0
2020-06,4453.0,3,100.0
2020-06,4468.0,3,100.0
2020-06,4474.0,3,100.0
2020-06,4485.0,4,100.0
2020-06,4489.0,3,100.0
2020-06,4490.0,3,100.0
2020-06,4503.0,3,100.0
2020-06,4524.0,3,100.0
2020-06,4543.0,3,50.0
2020-06,4545.0,3,50.0
2020-06,4563.0,3,100.0
2020-06,4564.0,4,100.0
2020-06,4574.0,3,100.0
2020-06,4576.0,3,100.0
